"id","lastSIPresponse"
193,"503 Funds Required B:-147 L:0"
194,"503 Funds Required B:-152 L:0"
263,"503 Funds Required B:-15794 L:0"
314,"503 Funds Required B:-1582 L:0"
195,"503 Funds Required B:-161 L:0"
249,"503 Funds Required B:-1613 L:0"
265,"503 Funds Required B:-16260 L:0"
330,"503 Funds Required B:-1636 L:0"
290,"503 Funds Required B:-165851 L:0"
289,"503 Funds Required B:-170611 L:0"
182,"503 Funds Required B:-176 L:0"
153,"503 Funds Required B:-18 L:0"
288,"503 Funds Required B:-180127 L:0"
266,"503 Funds Required B:-18048 L:0"
235,"503 Funds Required B:-181 L:0"
319,"503 Funds Required B:-182 L:0"
321,"503 Funds Required B:-184 L:0"
287,"503 Funds Required B:-184887 L:0"
140,"503 Funds Required B:-19 L:0"
142,"503 Funds Required B:-194 L:0"
322,"503 Funds Required B:-196 L:0"
323,"503 Funds Required B:-198 L:0"
269,"503 Funds Required B:-19800 L:0"
183,"503 Funds Required B:-2 L:0"
129,"503 Funds Required B:-20 L:0"
343,"503 Funds Required B:-20835 L:0"
344,"503 Funds Required B:-20839 L:0"
188,"503 Funds Required B:-2105 L:0"
268,"503 Funds Required B:-21587 L:0"
331,"503 Funds Required B:-2173 L:0"
335,"503 Funds Required B:-2271 L:0"
267,"503 Funds Required B:-23436 L:0"
169,"503 Funds Required B:-238 L:0"
271,"503 Funds Required B:-24049 L:0"
166,"503 Funds Required B:-246 L:0"
299,"503 Funds Required B:-2469 L:0"
302,"503 Funds Required B:-2471 L:0"
303,"503 Funds Required B:-2508 L:0"
345,"503 Funds Required B:-25101 L:0"
272,"503 Funds Required B:-26359 L:0"
234,"503 Funds Required B:-264 L:0"
349,"503 Funds Required B:-26501 L:0"
192,"503 Funds Required B:-268 L:0"
329,"503 Funds Required B:-2710 L:0"
333,"503 Funds Required B:-2769 L:0"
324,"503 Funds Required B:-278 L:0"
346,"503 Funds Required B:-27882 L:0"
347,"503 Funds Required B:-27905 L:0"
146,"503 Funds Required B:-28 L:0"
191,"503 Funds Required B:-282 L:0"
270,"503 Funds Required B:-28297 L:0"
306,"503 Funds Required B:-286 L:0"
273,"503 Funds Required B:-28761 L:0"
348,"503 Funds Required B:-29385 L:0"
336,"503 Funds Required B:-2969 L:0"
326,"503 Funds Required B:-303 L:0"
300,"503 Funds Required B:-3077 L:0"
301,"503 Funds Required B:-3079 L:0"
350,"503 Funds Required B:-30839 L:0"
276,"503 Funds Required B:-31113 L:0"
274,"503 Funds Required B:-31164 L:0"
328,"503 Funds Required B:-330 L:0"
334,"503 Funds Required B:-3306 L:0"
275,"503 Funds Required B:-33516 L:0"
327,"503 Funds Required B:-348 L:0"
318,"503 Funds Required B:-350 L:0"
325,"503 Funds Required B:-354 L:0"
317,"503 Funds Required B:-367 L:0"
199,"503 Funds Required B:-37 L:0"
254,"503 Funds Required B:-3717 L:0"
154,"503 Funds Required B:-38 L:0"
277,"503 Funds Required B:-38982 L:0"
232,"503 Funds Required B:-390 L:0"
165,"503 Funds Required B:-40 L:0"
356,"503 Funds Required B:-41192 L:0"
355,"503 Funds Required B:-41560 L:0"
338,"503 Funds Required B:-4207 L:0"
339,"503 Funds Required B:-4226 L:0"
357,"503 Funds Required B:-42504 L:0"
168,"503 Funds Required B:-428 L:0"
174,"503 Funds Required B:-43 L:0"
167,"503 Funds Required B:-431 L:0"
358,"503 Funds Required B:-43816 L:0"
353,"503 Funds Required B:-44310 L:0"
251,"503 Funds Required B:-4485 L:0"
351,"503 Funds Required B:-45603 L:0"
354,"503 Funds Required B:-45821 L:0"
227,"503 Funds Required B:-46 L:0"
253,"503 Funds Required B:-4637 L:0"
352,"503 Funds Required B:-47191 L:0"
113,"503 Funds Required B:-5 L:0"
298,"503 Funds Required B:-5387 L:0"
337,"503 Funds Required B:-5404 L:0"
341,"503 Funds Required B:-5603 L:0"
315,"503 Funds Required B:-561 L:0"
159,"503 Funds Required B:-57 L:0"
114,"503 Funds Required B:-6 L:0"
200,"503 Funds Required B:-60 L:0"
256,"503 Funds Required B:-6117 L:0"
250,"503 Funds Required B:-6217 L:0"
196,"503 Funds Required B:-64 L:0"
252,"503 Funds Required B:-6471 L:0"
279,"503 Funds Required B:-64918 L:0"
280,"503 Funds Required B:-67794 L:0"
138,"503 Funds Required B:-7 L:0"
282,"503 Funds Required B:-70675 L:0"
255,"503 Funds Required B:-7184 L:0"
278,"503 Funds Required B:-73554 L:0"
132,"503 Funds Required B:-75 L:0"
184,"503 Funds Required B:-77 L:0"
130,"503 Funds Required B:-78 L:0"
281,"503 Funds Required B:-79308 L:0"
245,"503 Funds Required B:-8006 L:0"
283,"503 Funds Required B:-80195 L:0"
305,"503 Funds Required B:-829 L:0"
340,"503 Funds Required B:-8384 L:0"
320,"503 Funds Required B:-84 L:0"
257,"503 Funds Required B:-8657 L:0"
204,"503 Funds Required B:-872 L:0"
205,"503 Funds Required B:-873 L:0"
201,"503 Funds Required B:-9 L:0"
216,"503 Funds Required B:-904 L:0"
246,"503 Funds Required B:-9099 L:0"
244,"503 Funds Required B:-9478 L:0"
233,"503 Funds Required B:-97 L:0"
342,"503 Funds Required B:-9758 L:0"
206,"503 Funds Required B:-981 L:0"
85,"503 Funds Required B:0 L:0"
110,"503 General Failure, Please Route Advance"
230,"503 LB CAPs"
84,"503 Maximum Calls In Progress"
309,"503 Network out of order"
293,"503 NO ORIG RATE"
96,"503 No Route to Destination"
42,"503 Normal temporary failure"
160,"503 Overloaded"
155,"503 Please Route Adance (M1)"
111,"503 Please Route Adance (M2)"
297,"503 Rejected"
115,"503 Route Advance, Please"
17,"503 Route cannot be found"
45,"503 Server error"
74,"503 Server Too Busy"
16,"503 Service Unavailable"
189,"503 Service Unavailable - CRB"
145,"503 Service Unavailable-No Bandwidth Available"
310,"503 Trunk Channel Limit Reached"
37,"503 Unavailable"
38,"504 Gateway Time-out"
51,"504 Recovery on timer expire"
32,"504 Server Time-out"
171,"504 Server Timeout"
69,"504 Service Time-out"
133,"600 Busy Everywhere"
39,"603 Call Rejected"
28,"603 Decline"
229,"603 Decline,no match account"
8,"603 Declined"
52,"604 Does not exist anywhere"
24,"604 Nope Nope Nope"
291,"606 Not Acceptable"
66,"686 PEBCAK"
