"cdr_ID","calldate","sipcallerip_country_code","sipcalledip_country_code","caller_number_country_code","called_number_country_code"
76100445,"2018-05-01 00:00:40","CA","CA","CA","CA"
76100372,"2018-05-01 00:00:41","US","CA","X1","US"
76100387,"2018-05-01 00:00:41","US","CA","X1","US"
76100392,"2018-05-01 00:00:42","US","CA","US","US"
76100394,"2018-05-01 00:00:42","US","CA","US","US"
76100469,"2018-05-01 00:00:42","CA","CA","CA","CA"
76100480,"2018-05-01 00:00:42","CA","CA","CA","CA"
76100375,"2018-05-01 00:00:46","US","CA","US","US"
76100390,"2018-05-01 00:00:46","US","CA","US","US"
76100417,"2018-05-01 00:00:47","CA","US","US","US"
76100442,"2018-05-01 00:00:47","CA","US","US","US"
76100374,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100389,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100391,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100395,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100398,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100399,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100401,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100406,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100407,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100409,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100433,"2018-05-01 00:00:48","CA","CA","CA","CA"
76100400,"2018-05-01 00:00:50","US","CA","US","US"
76100408,"2018-05-01 00:00:50","US","CA","US","US"
76100431,"2018-05-01 00:00:50","CA","CA","CA","CA"
76100428,"2018-05-01 00:00:52","CA","CA","CA","CA"
76100474,"2018-05-01 00:00:52","CA","CA","CA","CA"
76100473,"2018-05-01 00:00:53","CA","CA","CA","CA"
76100396,"2018-05-01 00:00:56","CA","CA","CA","CA"
76100404,"2018-05-01 00:00:56","CA","CA","CA","CA"
76100403,"2018-05-01 00:00:59","CA","CA","CA","CA"
76100411,"2018-05-01 00:00:59","CA","CA","CA","CA"
76100422,"2018-05-01 00:01:00","CA","CA","CA","CA"
76100447,"2018-05-01 00:01:00","CA","CA","CA","CA"
76100475,"2018-05-01 00:01:01","US","CA","CA","CA"
76100478,"2018-05-01 00:01:02","CA","CA","CA","CA"
76100487,"2018-05-01 00:01:02","CA","CA","CA","CA"
76100476,"2018-05-01 00:01:04","CA","CA","CA","CA"
76100515,"2018-05-01 00:01:04","US","CA","US","X1"
76100516,"2018-05-01 00:01:04","US","CA","US","X1"
76100451,"2018-05-01 00:01:10","US","CA","CA","CA"
76100454,"2018-05-01 00:01:10","US","CA","CA","CA"
76100470,"2018-05-01 00:01:13","CA","CA","CA","CA"
76100482,"2018-05-01 00:01:13","CA","CA","CA","CA"
76100461,"2018-05-01 00:01:17","CA","CA","CA","CA"
76100462,"2018-05-01 00:01:17","CA","CA","CA","CA"
76100458,"2018-05-01 00:01:20","FR","US","CA","SE"
76100533,"2018-05-01 00:01:20","CA","CA","CA","CA"
76100535,"2018-05-01 00:01:22","CA","CA","CA","CA"
76100507,"2018-05-01 00:01:24","US","CA","US","US"
76100510,"2018-05-01 00:01:24","US","CA","US","US"
76100479,"2018-05-01 00:01:26","CA","US","US","CA"
76100484,"2018-05-01 00:01:26","CA","US","US","CA"
76100486,"2018-05-01 00:01:26","CA","US","US","CA"
76100538,"2018-05-01 00:01:30","CA","CA","CA","CA"
76100540,"2018-05-01 00:01:30","CA","CA","CA","CA"
76100505,"2018-05-01 00:01:32","US","CA","US","US"
76100508,"2018-05-01 00:01:32","US","CA","US","US"
76100467,"2018-05-01 00:01:33","CA","US","US","CA"
76100468,"2018-05-01 00:01:33","CA","US","US","CA"
76100483,"2018-05-01 00:01:33","CA","US","US","CA"
76100506,"2018-05-01 00:01:35","CA","US","US","US"
76100509,"2018-05-01 00:01:35","CA","US","US","US"
76100464,"2018-05-01 00:01:36","CA","CA","CA","X1"
76101016,"2018-05-01 00:01:37","CA","CA","CA","X1"
76100492,"2018-05-01 00:01:41","CA","US","US","US"
76100498,"2018-05-01 00:01:41","CA","US","US","US"
76100518,"2018-05-01 00:01:41","CA","US","US","US"
76100520,"2018-05-01 00:01:41","CA","US","US","US"
76100512,"2018-05-01 00:01:48","CA","CA","CA","CA"
76100513,"2018-05-01 00:01:49","CA","CA","CA","CA"
76100471,"2018-05-01 00:01:52","CA","US","US","US"
76100481,"2018-05-01 00:01:52","CA","US","US","US"
76100490,"2018-05-01 00:01:53","CA","CA","CA","CA"
76100514,"2018-05-01 00:01:57","CA","CA","CA","CA"
76100578,"2018-05-01 00:01:57","CA","CA","CA","CA"
76100709,"2018-05-01 00:01:57","CA","CA","CA","CA"
76100711,"2018-05-01 00:01:57","CA","CA","CA","CA"
76100493,"2018-05-01 00:01:58","CA","CA","CA","CA"
76100496,"2018-05-01 00:01:58","CA","CA","CA","CA"
76100499,"2018-05-01 00:01:58","CA","CA","CA","CA"
76100502,"2018-05-01 00:01:58","CA","CA","CA","CA"
76100511,"2018-05-01 00:01:58","CA","CA","CA","CA"
76100710,"2018-05-01 00:01:58","CA","CA","CA","CA"
76100712,"2018-05-01 00:01:58","CA","CA","CA","CA"
76100495,"2018-05-01 00:02:02","CA","US","US","US"
76100501,"2018-05-01 00:02:02","CA","US","US","US"
76100567,"2018-05-01 00:02:07","CA","CA","CA","CA"
76100568,"2018-05-01 00:02:09","CA","CA","CA","CA"
76100572,"2018-05-01 00:02:18","CA","CA","CA","CA"
76100573,"2018-05-01 00:02:18","CA","CA","CA","CA"
76100521,"2018-05-01 00:02:23","CA","CA","CA","CA"
76100522,"2018-05-01 00:02:25","CA","CA","CA","CA"
76100537,"2018-05-01 00:02:28","CA","CA","CA","CA"
76100539,"2018-05-01 00:02:28","CA","CA","CA","CA"
76100799,"2018-05-01 00:02:28","CA","CA","CA","CA"
76100523,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100524,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100525,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100526,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100527,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100528,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100529,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100530,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100531,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100532,"2018-05-01 00:02:29","CA","CA","CA","CA"
76100517,"2018-05-01 00:02:33","CA","CA","CA","CA"
76100519,"2018-05-01 00:02:33","CA","CA","CA","CA"
76100534,"2018-05-01 00:02:37","CA","CA","CA","CA"
76100577,"2018-05-01 00:02:45","CA","CA","CA","CA"
76100583,"2018-05-01 00:02:49","CA","CA","CA","CA"
76100546,"2018-05-01 00:02:50","CA","US","US","US"
76100552,"2018-05-01 00:02:50","CA","US","US","US"
76100555,"2018-05-01 00:02:55","CA","CA","CA","CA"
76100557,"2018-05-01 00:02:56","CA","CA","CA","CA"
76100564,"2018-05-01 00:03:00","CA","CA","X1","CA"
76100561,"2018-05-01 00:03:03","CA","CA","CA","CA"
76100550,"2018-05-01 00:03:05","CA","CA","CA","CA"
76100554,"2018-05-01 00:03:05","CA","CA","CA","CA"
76100536,"2018-05-01 00:03:11","FR","US","CA","SE"
76100559,"2018-05-01 00:03:11","CA","CA","CA","CA"
76100565,"2018-05-01 00:03:11","CA","CA","CA","CA"
76100562,"2018-05-01 00:03:20","CA","CA","CA","CA"
76100563,"2018-05-01 00:03:21","CA","CA","CA","CA"
76100579,"2018-05-01 00:03:23","US","CA","US","X1"
76100581,"2018-05-01 00:03:23","US","CA","US","X1"
76100576,"2018-05-01 00:03:25","CA","CA","CA","CA"
76100560,"2018-05-01 00:03:30","CA","CA","CA","CA"
76100566,"2018-05-01 00:03:30","CA","CA","CA","CA"
76100571,"2018-05-01 00:03:35","CA","CA","CA","CA"
76101121,"2018-05-01 00:03:40","CA","CA","CA","X1"
76100585,"2018-05-01 00:03:41","CA","CA","CA","CA"
76100584,"2018-05-01 00:03:43","CA","CA","CA","CA"
76101120,"2018-05-01 00:03:43","CA","CA","CA","X1"
76100574,"2018-05-01 00:03:46","CA","CA","CA","CA"
76100575,"2018-05-01 00:03:47","CA","CA","CA","CA"
76100586,"2018-05-01 00:03:50","CA","CA","CA","CA"
76100593,"2018-05-01 00:03:50","CA","CA","CA","CA"
76100587,"2018-05-01 00:03:51","CA","CA","CA","CA"
76100594,"2018-05-01 00:03:51","CA","CA","CA","CA"
76101122,"2018-05-01 00:03:52","CA","CA","CA","X1"
76101123,"2018-05-01 00:03:52","CA","CA","CA","X1"
76100588,"2018-05-01 00:04:10","CA","CA","CA","CA"
76100595,"2018-05-01 00:04:10","CA","CA","CA","CA"
76100612,"2018-05-01 00:04:11","CA","CA","CA","CA"
76100616,"2018-05-01 00:04:12","CA","CA","CA","CA"
76100589,"2018-05-01 00:04:13","CA","CA","CA","CA"
76100596,"2018-05-01 00:04:13","CA","CA","CA","CA"
76100622,"2018-05-01 00:04:19","CA","CA","CA","CA"
76100625,"2018-05-01 00:04:19","CA","CA","CA","CA"
76100618,"2018-05-01 00:04:20","CA","CA","CA","CA"
76100580,"2018-05-01 00:04:22","CA","US","US","US"
76100582,"2018-05-01 00:04:22","CA","US","US","US"
76100619,"2018-05-01 00:04:23","CA","CA","CA","CA"
76100654,"2018-05-01 00:04:25","CA","CA","CA","CA"
76100590,"2018-05-01 00:04:28","CA","CA","CA","CA"
76100591,"2018-05-01 00:04:28","CA","CA","CA","CA"
76100592,"2018-05-01 00:04:28","CA","CA","CA","CA"
76100598,"2018-05-01 00:04:28","CA","CA","CA","CA"
76100599,"2018-05-01 00:04:28","CA","CA","CA","CA"
76100600,"2018-05-01 00:04:28","CA","CA","CA","CA"
76100653,"2018-05-01 00:04:28","CA","CA","CA","CA"
76100620,"2018-05-01 00:04:37","US","CA","US","X1"
76100624,"2018-05-01 00:04:37","US","CA","US","X1"
76100651,"2018-05-01 00:04:37","CA","CA","CA","CA"
76100652,"2018-05-01 00:04:37","CA","CA","CA","CA"
76100800,"2018-05-01 00:04:49","CA","CA","CA","CA"
76100609,"2018-05-01 00:04:54","CA","CA","CA","CA"
76100661,"2018-05-01 00:04:54","CA","CA","CA","CA"
76100610,"2018-05-01 00:04:56","CA","CA","CA","CA"
76100664,"2018-05-01 00:04:56","CA","CA","CA","CA"
76100704,"2018-05-01 00:04:59","CA","CA","X1","CA"
76100621,"2018-05-01 00:05:00","CA","CA","CA","CA"
76100627,"2018-05-01 00:05:00","CA","CA","CA","CA"
76100597,"2018-05-01 00:05:01","FR","US","CA","SE"
76100703,"2018-05-01 00:05:01","CA","CA","CA","CA"
76100662,"2018-05-01 00:05:04","CA","CA","CA","CA"
76100663,"2018-05-01 00:05:04","CA","CA","CA","CA"
76100680,"2018-05-01 00:05:08","US","CA","US","US"
76100689,"2018-05-01 00:05:08","US","CA","US","US"
76100705,"2018-05-01 00:05:09","CA","CA","CA","CA"
76100706,"2018-05-01 00:05:09","CA","CA","CA","CA"
76100607,"2018-05-01 00:05:11","CA","CA","CA","CA"
76100614,"2018-05-01 00:05:12","CA","CA","CA","CA"
76100617,"2018-05-01 00:05:12","CA","CA","CA","CA"
76100608,"2018-05-01 00:05:17","CA","CA","CA","CA"
76100613,"2018-05-01 00:05:19","CA","CA","CA","CA"
76100615,"2018-05-01 00:05:21","CA","CA","CA","CA"
76100611,"2018-05-01 00:05:22","CA","CA","CA","CA"
76100623,"2018-05-01 00:05:26","US","CA","US","US"
76100626,"2018-05-01 00:05:26","US","CA","US","US"
76100628,"2018-05-01 00:05:27","CA","US","US","CA"
76100634,"2018-05-01 00:05:27","CA","US","US","CA"
76100645,"2018-05-01 00:05:30","CA","CA","CA","CA"
76100646,"2018-05-01 00:05:31","CA","CA","CA","CA"
76100684,"2018-05-01 00:05:35","CA","US","US","US"
76100693,"2018-05-01 00:05:35","CA","US","US","US"
76100682,"2018-05-01 00:05:36","US","CA","US","US"
76100691,"2018-05-01 00:05:36","US","CA","US","US"
76100707,"2018-05-01 00:05:44","CA","CA","CA","CA"
76100708,"2018-05-01 00:05:46","CA","CA","CA","CA"
76100630,"2018-05-01 00:05:47","US","US","US","CA"
76100636,"2018-05-01 00:05:47","US","US","US","CA"
76100648,"2018-05-01 00:05:47","US","US","US","US"
76100650,"2018-05-01 00:05:47","US","CA","US","CA"
76100656,"2018-05-01 00:05:47","CA","CA","CA","CA"
76100640,"2018-05-01 00:05:49","CA","CA","CA","CA"
76100643,"2018-05-01 00:05:50","CA","CA","CA","CA"
76100641,"2018-05-01 00:05:51","CA","CA","CA","CA"
76100644,"2018-05-01 00:05:52","CA","CA","CA","CA"
76100642,"2018-05-01 00:05:53","CA","CA","CA","CA"
76100655,"2018-05-01 00:05:54","CA","CA","CA","CA"
76100629,"2018-05-01 00:05:58","CA","CA","CA","CA"
76100635,"2018-05-01 00:05:58","CA","CA","CA","CA"
76100674,"2018-05-01 00:05:58","CA","CA","CA","CA"
76100631,"2018-05-01 00:05:59","CA","CA","CA","CA"
76100637,"2018-05-01 00:05:59","CA","CA","CA","CA"
76100633,"2018-05-01 00:06:00","CA","CA","CA","CA"
76100639,"2018-05-01 00:06:00","CA","CA","CA","CA"
76100649,"2018-05-01 00:06:00","FR","US","CA","GB"
76100666,"2018-05-01 00:06:00","FR","US","CA","GB"
76100675,"2018-05-01 00:06:00","CA","CA","CA","CA"
76100647,"2018-05-01 00:06:01","FR","US","CA","GB"
76100672,"2018-05-01 00:06:02","FR","US","CA","GB"
76100632,"2018-05-01 00:06:05","US","CA","US","X1"
76100638,"2018-05-01 00:06:05","US","CA","US","X1"
76100679,"2018-05-01 00:06:06","CA","CA","CA","CA"
76100688,"2018-05-01 00:06:06","CA","CA","CA","CA"
76100681,"2018-05-01 00:06:08","CA","CA","CA","CA"
76100690,"2018-05-01 00:06:08","CA","CA","CA","CA"
76100669,"2018-05-01 00:06:10","CA","CA","CA","CA"
76100671,"2018-05-01 00:06:11","CA","CA","CA","CA"
76100750,"2018-05-01 00:06:14","US","CA","US","X1"
76100754,"2018-05-01 00:06:14","US","CA","US","X1"
76100673,"2018-05-01 00:06:25","CA","US","US","CA"
76100670,"2018-05-01 00:06:28","CA","CA","CA","CA"
76100665,"2018-05-01 00:06:32","US","CA","US","US"
76100668,"2018-05-01 00:06:32","US","CA","US","US"
76100683,"2018-05-01 00:06:33","CA","CA","US","CA"
76100692,"2018-05-01 00:06:33","CA","CA","US","CA"
76100676,"2018-05-01 00:06:44","CA","CA","CA","CA"
76100677,"2018-05-01 00:06:45","CA","CA","CA","CA"
76100678,"2018-05-01 00:06:51","CA","CA","CA","CA"
76100667,"2018-05-01 00:06:52","FR","US","CA","SE"
76100864,"2018-05-01 00:06:57","CA","CA","CA","CA"
76100865,"2018-05-01 00:06:59","CA","CA","CA","CA"
76100686,"2018-05-01 00:07:03","CA","CA","CA","CA"
76100695,"2018-05-01 00:07:03","CA","CA","CA","CA"
76100866,"2018-05-01 00:07:07","CA","CA","CA","CA"
76100867,"2018-05-01 00:07:07","CA","CA","CA","CA"
76100743,"2018-05-01 00:07:09","CA","CA","CA","CA"
76100697,"2018-05-01 00:07:14","US","CA","US","X1"
76100699,"2018-05-01 00:07:14","US","CA","US","X1"
76100744,"2018-05-01 00:07:14","CA","CA","CA","X1"
76100698,"2018-05-01 00:07:21","CA","US","US","US"
76100700,"2018-05-01 00:07:21","CA","US","US","US"
76100771,"2018-05-01 00:07:21","CA","CA","CA","CA"
76100738,"2018-05-01 00:07:23","CA","CA","CA","X1"
76100742,"2018-05-01 00:07:23","CA","CA","CA","X1"
76100775,"2018-05-01 00:07:23","CA","CA","CA","CA"
76100773,"2018-05-01 00:07:32","CA","CA","CA","CA"
76100780,"2018-05-01 00:07:32","CA","CA","CA","CA"
76100715,"2018-05-01 00:07:34","US","CA","US","X1"
76100716,"2018-05-01 00:07:34","US","CA","US","X1"
76100731,"2018-05-01 00:07:39","CA","CA","X1","CA"
76100735,"2018-05-01 00:07:39","CA","CA","X1","CA"
76100732,"2018-05-01 00:07:40","CA","CA","X1","CA"
76100734,"2018-05-01 00:07:40","CA","CA","X1","CA"
76100713,"2018-05-01 00:07:42","CA","CA","CA","CA"
76100714,"2018-05-01 00:07:42","CA","CA","CA","CA"
76100717,"2018-05-01 00:07:43","CA","CA","CA","CA"
76100720,"2018-05-01 00:07:51","CA","CA","CA","CA"
76100718,"2018-05-01 00:08:01","US","CA","US","X1"
76100719,"2018-05-01 00:08:01","US","CA","US","X1"
76100727,"2018-05-01 00:08:07","CA","CA","CA","CA"
76100728,"2018-05-01 00:08:09","CA","CA","CA","CA"
76100751,"2018-05-01 00:08:14","CA","US","US","US"
76100757,"2018-05-01 00:08:14","CA","US","US","US"
76100723,"2018-05-01 00:08:17","CA","CA","CA","CA"
76100729,"2018-05-01 00:08:17","CA","CA","CA","CA"
76100777,"2018-05-01 00:08:18","CA","CA","CA","CA"
76100778,"2018-05-01 00:08:21","CA","CA","CA","CA"
76100781,"2018-05-01 00:08:29","CA","CA","CA","CA"
76100783,"2018-05-01 00:08:29","CA","CA","CA","CA"
76100737,"2018-05-01 00:08:34","US","CA","US","X1"
76100740,"2018-05-01 00:08:34","US","CA","US","X1"
76100736,"2018-05-01 00:08:41","CA","CA","CA","CA"
76100724,"2018-05-01 00:08:42","FR","US","CA","SE"
76100730,"2018-05-01 00:08:46","US","CA","US","X1"
76100733,"2018-05-01 00:08:46","US","CA","US","X1"
76100768,"2018-05-01 00:08:46","CA","CA","CA","CA"
76100797,"2018-05-01 00:09:06","US","CA","US","X1"
76100803,"2018-05-01 00:09:06","US","CA","US","X1"
76100745,"2018-05-01 00:09:07","CA","CA","CA","CA"
76100747,"2018-05-01 00:09:08","CA","CA","CA","CA"
76100748,"2018-05-01 00:09:08","CA","CA","CA","CA"
76100746,"2018-05-01 00:09:14","CA","CA","CA","CA"
76100752,"2018-05-01 00:09:15","CA","CA","CA","CA"
76100756,"2018-05-01 00:09:15","CA","CA","CA","CA"
76100753,"2018-05-01 00:09:16","CA","CA","CA","CA"
76100755,"2018-05-01 00:09:16","CA","CA","CA","CA"
76100739,"2018-05-01 00:09:17","CA","US","US","US"
76100741,"2018-05-01 00:09:17","CA","US","US","US"
76100749,"2018-05-01 00:09:19","CA","CA","CA","CA"
76100758,"2018-05-01 00:09:32","CA","CA","CA","CA"
76100764,"2018-05-01 00:09:34","CA","CA","CA","CA"
76100770,"2018-05-01 00:09:36","CA","CA","CA","CA"
76100772,"2018-05-01 00:09:38","CA","CA","CA","CA"
76100776,"2018-05-01 00:09:40","CA","CA","CA","CA"
76100759,"2018-05-01 00:09:41","CA","CA","CA","CA"
76100760,"2018-05-01 00:09:41","CA","CA","CA","CA"
76100779,"2018-05-01 00:09:41","CA","CA","CA","CA"
76100761,"2018-05-01 00:09:43","CA","CA","CA","CA"
76100763,"2018-05-01 00:09:43","CA","CA","CA","CA"
76100765,"2018-05-01 00:09:43","CA","CA","CA","CA"
76100767,"2018-05-01 00:09:43","CA","CA","CA","CA"
76100798,"2018-05-01 00:09:43","CA","US","US","US"
76100804,"2018-05-01 00:09:43","CA","US","US","US"
76100762,"2018-05-01 00:09:44","CA","CA","CA","CA"
76100766,"2018-05-01 00:09:44","CA","CA","CA","CA"
76100774,"2018-05-01 00:09:57","CA","CA","CA","CA"
76100769,"2018-05-01 00:09:58","CA","CA","CA","CA"
76100788,"2018-05-01 00:10:02","CA","CA","CA","CA"
76100784,"2018-05-01 00:10:03","CA","CA","CA","CA"
76100785,"2018-05-01 00:10:08","CA","CA","CA","CA"
76100787,"2018-05-01 00:10:09","CA","CA","CA","CA"
76100792,"2018-05-01 00:10:11","CA","CA","CA","CA"
76100796,"2018-05-01 00:10:11","CA","CA","CA","CA"
76100789,"2018-05-01 00:10:12","CA","CA","CA","CA"
76100793,"2018-05-01 00:10:12","CA","CA","CA","CA"
76100934,"2018-05-01 00:10:12","CA","CA","X1","CA"
76100786,"2018-05-01 00:10:14","CA","CA","X1","CA"
76100880,"2018-05-01 00:10:15","CA","CA","CA","CA"
76100790,"2018-05-01 00:10:16","CA","CA","CA","CA"
76100794,"2018-05-01 00:10:16","CA","CA","CA","CA"
76100878,"2018-05-01 00:10:16","CA","CA","CA","CA"
76100791,"2018-05-01 00:10:17","CA","CA","CA","CA"
76100795,"2018-05-01 00:10:17","CA","CA","CA","CA"
76100802,"2018-05-01 00:10:21","CA","CA","CA","CA"
76100801,"2018-05-01 00:10:22","CA","CA","CA","CA"
76100873,"2018-05-01 00:10:25","CA","CA","CA","CA"
76100876,"2018-05-01 00:10:25","CA","CA","CA","CA"
76100782,"2018-05-01 00:10:28","FR","US","CA","SE"
76100815,"2018-05-01 00:10:29","US","CA","US","US"
76100817,"2018-05-01 00:10:29","US","CA","US","US"
76100809,"2018-05-01 00:10:30","CA","CA","CA","CA"
76101002,"2018-05-01 00:10:30","CA","CA","CA","X1"
76100805,"2018-05-01 00:10:31","CA","CA","CA","CA"
76100806,"2018-05-01 00:10:31","CA","CA","CA","CA"
76100845,"2018-05-01 00:10:32","CA","CA","CA","X1"
76100810,"2018-05-01 00:10:37","CA","CA","CA","CA"
76100828,"2018-05-01 00:10:39","CA","CA","CA","CA"
76100837,"2018-05-01 00:10:41","CA","CA","CA","X1"
76100839,"2018-05-01 00:10:41","CA","CA","CA","X1"
76100807,"2018-05-01 00:10:42","CA","CA","CA","CA"
76100808,"2018-05-01 00:10:42","CA","CA","CA","CA"
76100900,"2018-05-01 00:10:45","CA","CA","CA","CA"
76100903,"2018-05-01 00:10:45","CA","CA","CA","CA"
76100901,"2018-05-01 00:10:47","CA","CA","CA","CA"
76100904,"2018-05-01 00:10:47","CA","CA","CA","CA"
76100811,"2018-05-01 00:10:51","CA","CA","CA","CA"
76100813,"2018-05-01 00:10:51","CA","CA","CA","CA"
76100812,"2018-05-01 00:10:52","CA","CA","CA","CA"
76100814,"2018-05-01 00:10:52","CA","CA","CA","CA"
76100819,"2018-05-01 00:10:58","CA","CA","CA","CA"
76100821,"2018-05-01 00:10:58","CA","CA","CA","CA"
76100820,"2018-05-01 00:10:59","CA","CA","CA","CA"
76100822,"2018-05-01 00:10:59","CA","CA","CA","CA"
76100816,"2018-05-01 00:11:00","CA","US","US","US"
76100818,"2018-05-01 00:11:00","CA","US","US","US"
76100826,"2018-05-01 00:11:15","CA","CA","CA","CA"
76100827,"2018-05-01 00:11:16","CA","CA","CA","CA"
76100830,"2018-05-01 00:11:23","CA","CA","CA","CA"
76100832,"2018-05-01 00:11:23","CA","CA","CA","CA"
76100831,"2018-05-01 00:11:24","CA","CA","CA","CA"
76100833,"2018-05-01 00:11:24","CA","CA","CA","CA"
76100824,"2018-05-01 00:11:31","CA","CA","CA","CA"
76100825,"2018-05-01 00:11:32","CA","CA","CA","CA"
76100946,"2018-05-01 00:11:34","CA","CA","CA","X1"
76100941,"2018-05-01 00:11:36","CA","CA","CA","X1"
76100823,"2018-05-01 00:11:39","CA","CA","CA","CA"
76100933,"2018-05-01 00:11:45","CA","CA","CA","X1"
76100935,"2018-05-01 00:11:45","CA","CA","CA","X1"
76100834,"2018-05-01 00:11:49","CA","CA","CA","CA"
76100829,"2018-05-01 00:11:51","CA","CA","CA","CA"
76100836,"2018-05-01 00:11:58","US","CA","US","US"
76100838,"2018-05-01 00:11:58","US","CA","US","US"
76100868,"2018-05-01 00:11:58","CA","CA","CA","CA"
76100869,"2018-05-01 00:12:00","CA","CA","CA","CA"
76100871,"2018-05-01 00:12:07","CA","CA","CA","CA"
76100874,"2018-05-01 00:12:07","CA","CA","CA","CA"
76100897,"2018-05-01 00:12:07","CA","CA","CA","CA"
76101203,"2018-05-01 00:12:07","CA","CA","CA","CA"
76100840,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100841,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100842,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100843,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100844,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100846,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100847,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100848,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100849,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100850,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100872,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100875,"2018-05-01 00:12:08","CA","CA","CA","CA"
76101204,"2018-05-01 00:12:08","CA","CA","CA","CA"
76100852,"2018-05-01 00:12:14","CA","CA","CA","CA"
76100851,"2018-05-01 00:12:15","CA","CA","CA","CA"
76100858,"2018-05-01 00:12:19","CA","CA","CA","CA"
76100835,"2018-05-01 00:12:20","FR","US","CA","SE"
76100898,"2018-05-01 00:12:23","CA","CA","CA","CA"
76100860,"2018-05-01 00:12:35","CA","CA","CA","CA"
76101346,"2018-05-01 00:12:35","CA","CA","CA","CA"
76100861,"2018-05-01 00:12:36","CA","CA","CA","CA"
76100862,"2018-05-01 00:12:36","CA","CA","CA","CA"
76101347,"2018-05-01 00:12:36","CA","CA","CA","CA"
