,Unnamed: 0,ID,calldate,callend,duration,connect_duration,progress_time,first_rtp_time,caller,caller_domain,caller_reverse,callername,callername_reverse,called,called_domain,called_reverse,sipcallerip,sipcallerport,sipcalledip,sipcalledport,whohanged,bye,lastSIPresponse_id,lastSIPresponseNum,sighup,dscp,a_index,b_index,a_payload,b_payload,a_saddr,b_saddr,a_received,b_received,a_lost,b_lost,a_ua_id,b_ua_id,a_avgjitter_mult10,b_avgjitter_mult10,a_maxjitter,b_maxjitter,a_sl1,a_sl2,a_sl3,a_sl4,a_sl5,a_sl6,a_sl7,a_sl8,a_sl9,a_sl10,a_d50,a_d70,a_d90,a_d120,a_d150,a_d200,a_d300,b_sl1,b_sl2,b_sl3,b_sl4,b_sl5,b_sl6,b_sl7,b_sl8,b_sl9,b_sl10,b_d50,b_d70,b_d90,b_d120,b_d150,b_d200,b_d300,a_mos_lqo_mult10,b_mos_lqo_mult10,a_mos_f1_mult10,a_mos_f2_mult10,a_mos_adapt_mult10,b_mos_f1_mult10,b_mos_f2_mult10,b_mos_adapt_mult10,a_rtcp_loss,a_rtcp_maxfr,a_rtcp_avgfr_mult10,a_rtcp_maxjitter,a_rtcp_avgjitter_mult10,b_rtcp_loss,b_rtcp_maxfr,b_rtcp_avgfr_mult10,b_rtcp_maxjitter,b_rtcp_avgjitter_mult10,a_last_rtp_from_end,b_last_rtp_from_end,payload,jitter_mult10,mos_min_mult10,a_mos_min_mult10,b_mos_min_mult10,packet_loss_perc_mult1000,a_packet_loss_perc_mult1000,b_packet_loss_perc_mult1000,delay_sum,a_delay_sum,b_delay_sum,delay_avg_mult100,a_delay_avg_mult100,b_delay_avg_mult100,delay_cnt,a_delay_cnt,b_delay_cnt,rtcp_avgfr_mult10,rtcp_avgjitter_mult10,lost,id_sensor,price_operator_mult100,price_operator_currency_id,price_customer_mult100,price_customer_currency_id,reason_sip_cause,reason_sip_text_id,reason_q850_cause,reason_q850_text_id,caller_silence,called_silence,caller_silence_end,called_silence_end,a_mos_xr_min_mult10,b_mos_xr_min_mult10,a_mos_xr_mult10,b_mos_xr_mult10,response_time_100,response_time_xxx,a_mos_f1_min_mult10,a_mos_f2_min_mult10,a_mos_adapt_min_mult10,b_mos_f1_min_mult10,b_mos_f2_min_mult10,b_mos_adapt_min_mult10,a_rtp_ptime,b_rtp_ptime,flags,ipaddr_caller,ipaddr_called,ipaddr_lat_sip_caller,ipaddr_lat_ip_called,ipaddr_lons_ip_caller,ipaddr_lons_ip_called,sipcallerasn,sipcallerasorg,sipcalledasn,sipcalledasorg,a_saddr_asn,a_saddr_asorg,b_saddr_asn,b_saddr_asorg,caller_city_asn,called_city_asn
10,10,76101388,2018-05-01 00:35:35,2018-05-01 00:36:24,49,21,3,3,jerry,sanitized,yrrej,sanitized,sanitized,604617,sanitized,716406,1614226523,5060,3227975250,11000,caller,3,1,200,0,33697280,1,0,333,333,1614226523,3227975250,2286,2289,0,0,3827,2,11,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,0,0,0,0,3,0,0,333,11,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,501,,255,,255,,,,,,,,,,,,,1,4,45,45,45,45,45,45,20,20,,96.55.36.91,192.102.254.82,49.1889,43.6319,-122.873,-79.3716,6327,Shaw Communications Inc.,395152,CloudPBX,6327,Shaw Communications Inc.,395152,CloudPBX,Surrey,
11,11,76100543,2018-05-01 00:00:10,2018-05-01 00:03:19,189,178,2,2,jerry,sanitized,yrrej,sanitized,sanitized,604540,sanitized,45406,1614226523,5060,3227975250,11000,caller,3,1,200,0,33697280,1,0,333,333,1614226523,3227975250,9329,9333,0,0,3827,2,16,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,0,0,0,0,2,0,0,333,16,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,501,,255,,255,,,,,,,,,,,,,2,5,45,45,45,45,45,45,20,20,,96.55.36.91,192.102.254.82,49.1889,43.6319,-122.873,-79.3716,6327,Shaw Communications Inc.,395152,CloudPBX,6327,Shaw Communications Inc.,395152,CloudPBX,Surrey,
12,14,76107130,2018-05-01 12:04:31,2018-05-01 12:06:10,99,91,3,3,user_v,sanitized,v_resu,sanitized,sanitized,416688,sanitized,886614,1168513348,1035,3227975507,11000,caller,3,1,200,0,33685504,1,2,0,0,1168513348,3227975507,3192,3182,0,0,5,2,11,100,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,44,45,45,45,,,,,,0,0,0,11,103,0,0,0,100,45,45,45,0,0,0,60,60,0,6000,6000,0,1,1,0,0,103,0,801,,,,,,,,,,,,,,,,,1,4,45,45,40,45,45,45,30,30,,69.166.25.68,192.102.255.83,43.5637,43.6319,-79.7202,-79.3716,36493,FIBERNETICS CORPORATION,393755,CloudPBX,36493,FIBERNETICS CORPORATION,393755,CloudPBX,Mississauga,
13,15,76107138,2018-05-01 12:04:31,2018-05-01 12:06:10,99,91,3,3,user_v,sanitized,v_resu,sanitized,sanitized,416688,sanitized,886614,1168513348,1035,3227975504,7000,caller,3,1,200,0,131072,1,2,0,0,1168513348,3227975507,3191,3182,0,0,5,2,11,100,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,0,0,0,11,103,0,0,0,100,45,45,45,0,0,0,60,60,0,6000,6000,0,1,1,0,0,103,0,802,,,,,,,,,,,,,,,,,2,5,45,45,45,45,45,45,30,30,,69.166.25.68,192.102.255.80,43.5637,43.6319,-79.7202,-79.3716,36493,FIBERNETICS CORPORATION,393755,CloudPBX,36493,FIBERNETICS CORPORATION,393755,CloudPBX,Mississauga,
14,16,76109735,2018-05-01 12:28:14,2018-05-01 12:30:35,141,132,2,3,user_v,sanitized,v_resu,sanitized,sanitized,705735,sanitized,537507,1168513348,1035,3227975507,11000,caller,3,1,200,0,33685504,1,2,0,0,1168513348,3227975507,4607,4595,0,1,5,2,11,100,19,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,0,0,0,10,100,0,0,0,100,45,45,45,22,0,22,60,60,0,6000,6000,0,1,1,0,0,100,1,801,,,,,,,,,,,,,,,,,2,6,45,45,45,45,45,45,30,30,,69.166.25.68,192.102.255.83,43.5637,43.6319,-79.7202,-79.3716,36493,FIBERNETICS CORPORATION,393755,CloudPBX,36493,FIBERNETICS CORPORATION,393755,CloudPBX,Mississauga,
15,17,76109746,2018-05-01 12:28:14,2018-05-01 12:30:35,141,132,2,3,user_v,sanitized,v_resu,sanitized,sanitized,705735,sanitized,537507,1168513348,1035,3227975504,7000,caller,3,1,200,0,131072,1,2,0,0,1168513348,3227975507,4606,4596,0,0,5,2,11,100,19,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,0,0,0,10,100,0,0,0,100,45,45,45,0,0,0,60,60,0,6000,6000,0,1,1,0,0,100,0,802,,,,,,,,,,,,,,,,,2,6,45,45,45,45,45,45,30,30,,69.166.25.68,192.102.255.80,43.5637,43.6319,-79.7202,-79.3716,36493,FIBERNETICS CORPORATION,393755,CloudPBX,36493,FIBERNETICS CORPORATION,393755,CloudPBX,Mississauga,
16,18,76107013,2018-05-01 12:03:09,2018-05-01 12:04:23,74,57,3,3,user_t,sanitized,t_resu,sanitized,sanitized,519270,sanitized,72915,3349638548,1945,3227975505,7000,callee,3,1,200,0,131072,1,0,0,0,3349638548,3227975507,3548,3546,0,0,3731,2,13,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,13,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0,802,,,,,,,16,,,,,,,,,,2,6,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.81,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
17,19,76107020,2018-05-01 12:03:09,2018-05-01 12:04:23,74,57,3,3,user_t,sanitized,t_resu,sanitized,sanitized,519270,sanitized,72915,3349638548,1945,3227975507,11000,callee,3,1,200,0,33685504,1,0,0,0,3349638548,3227975507,3549,3546,0,0,3731,2,13,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,13,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0,801,,,,,,,16,,,,,,,,,,2,5,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.83,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
18,20,76106558,2018-05-01 11:55:58,2018-05-01 11:56:34,36,24,4,4,user_t,sanitized,t_resu,sanitized,sanitized,519923,sanitized,329915,3349638548,1945,3227975507,11000,caller,3,1,200,0,33685504,1,0,0,0,3349638548,3227975507,1576,1580,1,0,3731,2,11,24,5,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,45,45,45,45,45,44,,,,,,,,,,,1,0,0,24,45,45,45,63,63,0,300,0,300,30000,0,30000,1,0,1,,,1,801,,,,,,,,,,,,,,,,,2,5,45,45,45,45,45,41,20,20,,199.167.109.148,192.102.255.83,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
19,21,76106565,2018-05-01 11:55:58,2018-05-01 11:56:34,36,24,4,4,user_t,sanitized,t_resu,sanitized,sanitized,519923,sanitized,329915,3349638548,1945,3227975505,7000,caller,3,1,200,0,131072,1,0,0,0,3349638548,3227975507,1576,1580,0,0,3731,2,11,24,5,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,45,45,45,45,45,44,,,,,,,,,,,1,0,0,24,45,45,45,0,0,0,300,0,300,30000,0,30000,1,0,1,,,0,802,,,,,,,,,,,,,,,,,2,6,45,45,45,45,45,41,20,20,,199.167.109.148,192.102.255.81,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
20,22,76101752,2018-05-01 00:56:34,2018-05-01 01:00:05,211,196,3,3,user_t,sanitized,t_resu,sanitized,sanitized,519270,sanitized,72915,3349638548,1945,3227975505,7000,callee,3,1,200,0,131072,1,0,0,0,3349638548,3227975506,10391,10390,0,0,3731,2,13,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,13,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0,802,,,,,,,16,,,,,,,,,,3,6,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.81,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
21,23,76101754,2018-05-01 00:56:34,2018-05-01 01:00:05,211,196,3,3,user_t,sanitized,t_resu,sanitized,sanitized,519270,sanitized,72915,3349638548,1945,3227975506,11000,callee,3,1,200,0,33685504,1,0,0,0,3349638548,3227975506,10388,10391,4,0,3731,2,13,1,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,13,45,45,45,38,38,0,0,0,0,0,0,0,0,0,0,,,4,801,,,,,,,16,,,,,,,,,,3,6,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.82,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
22,24,76104338,2018-05-01 10:56:01,2018-05-01 10:56:47,46,28,7,7,user_t,sanitized,t_resu,sanitized,sanitized,519375,sanitized,573915,3349638548,1945,3227975507,11000,callee,3,1,200,0,33685504,1,0,0,0,3349638548,3227975507,1961,1954,0,1,3731,2,13,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,13,45,45,45,51,0,51,0,0,0,0,0,0,0,0,0,,,1,801,,,,,,,16,21,,,,,,,,,2,5,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.83,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
23,25,76104340,2018-05-01 10:56:01,2018-05-01 10:56:47,46,28,7,7,user_t,sanitized,t_resu,sanitized,sanitized,519375,sanitized,573915,3349638548,1945,3227975505,7000,callee,3,1,200,0,131072,1,0,0,0,3349638548,3227975507,1960,1954,0,0,3731,2,13,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,13,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0,802,,,,,,,16,21,,,,,,,,,2,5,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.81,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
24,26,76104371,2018-05-01 10:57:41,2018-05-01 10:57:51,10,7,3,3,user_t,sanitized,t_resu,sanitized,sanitized,519378,sanitized,873915,3349638548,1945,3227975507,11000,caller,3,1,200,0,33685504,0,1,0,0,3349638548,3227975507,373,370,0,0,3731,2,19,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,19,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0,801,,,,,,,,,,,,,,,,,2,5,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.83,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
25,27,76104373,2018-05-01 10:57:41,2018-05-01 10:57:51,10,7,3,3,user_t,sanitized,t_resu,sanitized,sanitized,519378,sanitized,873915,3349638548,1945,3227975505,7000,caller,3,1,200,0,131072,0,1,0,0,3349638548,3227975507,371,370,0,0,3731,2,19,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,19,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0,802,,,,,,,,,,,,,,,,,2,6,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.81,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
